dataid,hour,grid
2005,0,1.559102059255602
2005,1,1.4281579579950259
2005,2,1.2916507537244288
2005,3,1.2201949627252335
2005,4,1.1473145417306707
2005,5,0.8559586519822984
2005,6,0.7176794185685027
2005,7,0.6663617351510496
2005,8,0.652102794235974
2005,9,0.6382945691000413
2005,10,0.6303557594543194
2005,11,0.6342589572208812
2005,12,0.6685923265184209
2005,13,0.7849016045217371
2005,14,0.9048636243386243
2005,15,1.0547774138687733
2005,16,1.1593223127423011
2005,17,1.2985753881118327
2005,18,1.3758428073110964
2005,19,1.55169542526318
2005,20,1.6255757035878868
2005,21,1.6988424590983349
2005,22,1.6430706769804697
2005,23,1.59681022724502
2462,0,3.394826353991417
2462,1,3.562882691463682
2462,2,3.1771837617036063
2462,3,2.7871146384987684
2462,4,2.2720293364299127
2462,5,1.7972706131287641
2462,6,1.4001312606673493
2462,7,1.0314985169336552
2462,8,0.8790214825177384
2462,9,0.87554557335479
2462,10,0.8163132893838538
2462,11,1.2750119654134056
2462,12,2.008990859148319
2462,13,1.7051234626825642
2462,14,1.4144559927644893
2462,15,1.7116391749262427
2462,16,1.859261059907834
2462,17,2.0212025120083874
2462,18,2.3979657907248924
2462,19,2.4459850655584816
2462,20,2.65226552449833
2462,21,2.364143586484773
2462,22,2.534179556482091
2462,23,3.0993693488954723
2542,0,5.057631017914211
2542,1,5.024104599267096
2542,2,4.97206716206783
2542,3,4.848136218057857
2542,4,4.513304782847974
2542,5,4.157547141791459
2542,6,3.9979979287817278
2542,7,3.9390332853302614
2542,8,3.8842418766610587
2542,9,3.8911465512459467
2542,10,4.621695988086095
2542,11,5.311539873332846
2542,12,4.867050838910833
2542,13,5.055958158998366
2542,14,5.100899403390388
2542,15,5.052683509954162
2542,16,5.089363852619901
2542,17,4.741257805909102
2542,18,4.505913218369785
2542,19,4.396072386347012
2542,20,4.395304527908833
2542,21,4.45204783529003
2542,22,4.538436027372419
2542,23,4.92501486129398
2933,0,2.9954409046076385
2933,1,2.6471274274784355
2933,2,2.3383688735771395
2933,3,2.2926162174071445
2933,4,2.2430034644268515
2933,5,2.191713062333425
2933,6,2.1539817498063467
2933,7,2.1351808639240093
2933,8,2.12823188134297
2933,9,2.1392830818300577
2933,10,2.1489209333602477
2933,11,2.118903928374493
2933,12,2.1808100602130844
2933,13,2.3104209971181744
2933,14,2.462526556366274
2933,15,2.3741538918593355
2933,16,2.3861213841788436
2933,17,2.505700350299342
2933,18,2.689535135048643
2933,19,2.73675920313259
2933,20,2.7689266568855277
2933,21,2.9752925473794423
2933,22,3.1299311515321597
2933,23,3.1902951651469795
3172,0,1.6866744000311673
3172,1,1.7542321372915692
3172,2,1.8369786115007014
3172,3,1.7361964703132304
3172,4,1.1014566970546984
3172,5,0.7503309763129189
3172,6,0.627996785881253
3172,7,0.6094367305594515
3172,8,0.6122542270531401
3172,9,0.6285359591709522
3172,10,0.62128860838398
3172,11,0.6371272791023843
3172,12,0.6342892901667445
3172,13,0.6492816541997819
3172,14,0.6808566697833879
3172,15,0.7438881291880941
3172,16,0.6220864110955275
3172,17,0.5787836411095528
3172,18,0.6664508142434159
3172,19,1.0482689925198692
3172,20,1.3232333255415303
3172,21,1.4988748052049246
3172,22,1.5930793984728067
3172,23,1.6311694132772323
3485,0,1.8570775145990297
3485,1,1.8778093637992832
3485,2,1.8494714720027796
3485,3,1.755326807658547
3485,4,1.5210283087069953
3485,5,1.3442012322312438
3485,6,1.1188475114597811
3485,7,0.9663753244398118
3485,8,0.8595070356361652
3485,9,0.7794658070306976
3485,10,0.7753836649355083
3485,11,0.8992229607075805
3485,12,1.046346432533587
3485,13,1.133677744099432
3485,14,1.1681136745090674
3485,15,1.323135607917002
3485,16,1.4337829522041792
3485,17,1.545710768232024
3485,18,1.656257149562334
3485,19,1.806401251584863
3485,20,1.8705989905639675
3485,21,1.9358843147294762
3485,22,1.95848094537098
3485,23,1.9334433127910664
3841,0,1.5433453510427135
3841,1,1.5468021622480135
3841,2,1.5437381195122413
3841,3,1.3357910244922342
3841,4,0.9636310730879368
3841,5,0.7884946704342164
