dataid,HVAC,Water_Heating_Pumps,Kitchen_Refrigeration,Laundry,Lighting_Plugs_Rooms,EV_Storage_Solar
2005,18.41050010752688,0.0,19.477167401433693,2.3733536379928317,6.626354372759858,0.0
2462,9.260764121863799,0.0,3.0381874910394266,0.0,20.540111272401433,0.0
2542,83.13814040770609,0.0,22.931182580645164,17.879687002688172,135.89778015232974,0.0
2933,0.08587401433691756,0.0,2.517449695340502,6.246603369175627,32.50383080645162,0.0
3485,19.73690281362007,2.767340931899642,31.22695491039427,0.791214964157706,0.5046698566308243,0.0
3841,6.358133064516129,0.0,10.970899390681003,1.0789012724014337,27.71769193548387,0.0
4399,43.70159700716845,0.0,7.939737383512544,6.50000976702509,33.23817582437276,0.0
6820,1.3883498118279571,17.374830994623657,1.2319913978494623,2.6742280913978496,9.079905358422938,0.0
7246,0.24044160842293905,52.45337696684588,0.6505600134408602,2.645853826164875,73.92673153673834,0.0
7352,0.0,0.0,7.49705751344086,15.492562701612904,62.92706848566308,0.0
7624,17.612918333333333,0.0,12.080425430107528,1.812626953405018,19.918868817204302,0.0
9765,8.620927222222221,0.0,6.127499444444444,1.2605494444444443,9.063092222222222,0.0
10458,4.501650017921147,0.0,5.585047347670251,0.0,13.850624211469535,0.0
10532,41.96503089605735,0.0,15.808894068100358,0.0,84.5653429032258,0.0
10686,8.396207992831542,0.0,40.716152759856634,1.2987726344086021,82.77564573476701,0.0
