dataid,HVAC,Water_Heating_Pumps,Kitchen_Refrigeration,Laundry,Lighting_Plugs_Rooms,EV_Storage_Solar
2005,2690.2871166666664,0.0,1567.5323666666666,192.92215,581.9454999999999,0
2462,800.1656000000002,0.0,215.165,0.0,1983.9275333333333,0
2542,6957.965899999999,0.0,1116.1096,365.83591666666666,10865.413900000001,0
2933,4.126733333333334,0.0,179.93293333333338,548.2604833333334,2081.3297000000002,0
3485,2090.66325,219.23063333333337,2062.8278999999998,50.99670000000001,48.165616666666665,0
3841,1285.53295,0.0,1149.90625,107.58876666666667,2529.5510833333333,0
4399,5222.290283333334,0.0,608.4401999999999,468.65116666666665,2451.7898833333334,0
5265,953.9315,0.0,189.91468333333333,0.001,1209.3148,0
6820,10.680266666666666,162.44646666666668,13.668000000000001,23.16665,64.19171666666666,0
7246,14.483033333333333,4043.5246666666667,47.73543333333334,219.42815000000002,4663.819799999999,0
7352,0.0,0.0,919.8431666666668,1468.6701999999998,8286.901816666668,0
7624,2975.73785,0.0,995.7883500000002,156.31049999999996,1948.07935,0
9765,344.1137833333333,0.0,534.6222,170.91323333333332,817.5460166666667,0
9783,0.0,0.0,134.18981666666664,72.78776666666666,2177.8974,0
10323,514.9181,351.70675,144.19261666666668,40.045049999999996,146.0387,0
10458,33.37851666666667,0.0,65.60988333333333,0.0,147.80793333333335,0
10532,7995.748466666667,0.0,1395.89345,0.0,7465.526466666664,0
10686,2038.5568999999998,0.0,4206.68215,114.15066666666667,8372.171550000001,0
11744,2430.5459,0.0,152.54104999999998,214.31981666666667,491.57635000000005,0
