dataid,HVAC,Water_Heating_Pumps,Kitchen_Refrigeration,Laundry,Lighting_Plugs_Rooms,EV_Storage_Solar
2005,58.275924999999994,0.0,17.921333229166667,2.4769713194444445,7.483203645833334,0.0
2462,9.868037395833333,0.0,2.856748402777778,0.0,31.901993611111113,0.0
2542,0.34628333333333333,0.0,1.1348333333333334,0.022866666666666667,11.153266666666667,0.0
2933,0.058667465277777775,0.0,1.607379409722222,7.6950768402777765,30.645720520833336,0.0
3485,53.26564517361111,2.671769097222222,24.5783865625,1.0094032986111112,0.7720119791666668,0.0
3841,31.312868229166664,0.0,12.538286145833334,1.2145501388888889,16.944710902777775,0.0
4399,98.04421996527778,0.0,7.407604270833334,4.962270034722223,27.14795951388889,0.0
5265,25.608891613247863,0.0,3.2085513541666666,1.6319444444444446e-06,17.49091464209402,0.0
7246,0.09176677083333333,26.624116458333333,0.4589230555555555,1.3375184722222222,21.937880416666665,0.0
7352,0.0,0.0,11.603876433691756,22.061835573476703,112.83562444444445,0.0
7624,72.30669052083333,0.0,12.638730694444444,1.5200918402777774,28.30808263888889,0.0
10532,180.688318687276,0.0,14.747767384632617,0.0,85.4645055454749,0.0
10686,52.97768213485663,0.0,55.129269695340504,1.2287193380376344,61.9519239639337,0.0
11744,88.33207605263158,0.0,2.2757600877192985,3.553103947368421,6.558442602339181,0.0
